iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ETH,Africa,Ethiopia,2022-03-28,469656.0,35.0,26.714,7492.0,0.0,0.429,3984.315,0.297,0.227,63.558,0.0,0.004,1.09,,,,,,,,,4637343.0,,39.341,,4900.0,0.042,0.005,200.4,tests performed,29373478.0,24486746.0,20958931.0,,,22728.0,24.92,20.77,17.78,,193.0,8654.0,0.007,,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
OWID_EUR,,Europe,2022-03-28,176889466.0,535851.0,630746.0,1766017.0,1363.0,1544.286,236179.184,715.457,842.159,2357.95,1.82,2.062,,,,,,,,,,,,,,,,,,,1254499303.0,510238339.0,488585395.0,284984033.0,458411.0,585954.0,167.5,68.13,65.23,38.05,782.0,163085.0,0.022,,748962983.0,,,,,,,,,,,,,,,,,,
OWID_EUN,,European Union,2022-03-28,123300804.0,259330.0,496801.714,1043600.0,772.0,944.286,275723.579,579.91,1110.941,2333.684,1.726,2.112,,,,,,,,,,,,,,,,,,,858260568.0,336154074.0,326556388.0,222469045.0,272085.0,265204.0,191.92,75.17,73.02,49.75,593.0,31975.0,0.007,,447189915.0,,,,,,,,,,,,,,,,,,
FRO,Europe,Faeroe Islands,2022-03-28,34658.0,0.0,0.0,28.0,0.0,0.0,706541.904,0.0,0.0,570.811,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49053.0,35.308,,,,,,,,,,,,80.67,,,,,
FLK,South America,Falkland Islands,2022-03-28,119.0,0.0,0.0,,,,33730.159,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3528.0,,,,,,,,,,,,,81.44,,,,,
FJI,Oceania,Fiji,2022-03-28,64394.0,18.0,9.571,834.0,0.0,0.0,71319.162,19.936,10.601,923.691,0.0,0.0,1.22,,,,,,,,,504466.0,,558.718,,170.0,0.188,,,tests performed,1306342.0,679918.0,626424.0,116069.0,,452.0,144.68,75.3,69.38,12.86,501.0,165.0,0.018,,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
FIN,Europe,Finland,2022-03-28,859477.0,14764.0,6780.0,3054.0,69.0,24.714,154906.467,2660.966,1221.982,550.433,12.436,4.454,1.2,42.0,7.57,1068.0,192.489,,,,,10353668.0,2831.0,1866.077,0.51,10720.0,1.932,0.619,1.6,tests performed,11658258.0,4504279.0,4302905.0,2851074.0,,6059.0,210.12,81.18,77.55,51.39,1092.0,666.0,0.012,26.85,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
FRA,Europe,France,2022-03-28,25111975.0,29582.0,128259.429,141890.0,149.0,105.143,372459.657,438.759,1902.338,2104.506,2.21,1.559,1.29,1533.0,22.737,21073.0,312.554,734.0,10.887,8366.0,124.084,256431950.0,494954.0,3803.387,7.341,440289.0,6.53,0.301,3.3,people tested,141630907.0,53990956.0,52434777.0,36283716.0,3756.0,31691.0,210.07,80.08,77.77,53.82,470.0,1104.0,0.002,19.44,67422000.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
PYF,Oceania,French Polynesia,2022-03-28,72058.0,190.0,84.143,646.0,0.0,0.143,255041.871,672.485,297.815,2286.45,0.0,0.506,,,,,,,,,,,,,,,,,,,366984.0,186177.0,180807.0,,,22.0,129.89,65.9,63.99,,78.0,22.0,0.008,,282534.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,
GAB,Africa,Gabon,2022-03-28,47584.0,0.0,0.429,303.0,0.0,0.0,20880.9,0.0,0.188,132.963,0.0,0.0,0.48,,,,,,,,,1587140.0,,696.472,,424.0,0.186,0.005,212.0,tests performed,548978.0,297308.0,250565.0,1076.0,,93.0,24.09,13.05,11.0,0.05,41.0,328.0,0.014,55.56,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
GMB,Africa,Gambia,2022-03-28,11986.0,0.0,1.143,365.0,0.0,0.0,4819.583,0.0,0.46,146.767,0.0,0.0,0.25,,,,,,,,,155686.0,,62.602,,68.0,0.027,0.01,95.2,tests performed,363353.0,331266.0,318161.0,,,7.0,14.61,13.32,12.79,,3.0,7.0,0.0,13.89,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
GEO,Asia,Georgia,2022-03-28,1646545.0,229.0,614.714,16720.0,12.0,7.0,413728.371,57.541,154.46,4201.245,3.015,1.759,0.48,,,,,,,,,13570641.0,20918.0,3409.903,5.256,3349.0,0.842,0.203,4.9,tests performed,2853264.0,1597391.0,1255873.0,,224.0,1532.0,71.69,40.14,31.56,,385.0,1227.0,0.031,37.96,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
DEU,Europe,Germany,2022-03-28,19492672.0,4962.0,110712.857,127599.0,140.0,103.857,232330.901,59.142,1319.574,1520.838,1.669,1.238,0.79,2356.0,28.081,,,2003.0,23.874,6924.0,82.526,117985349.0,,1406.254,,351505.0,4.19,0.557,1.8,tests performed,171828850.0,63652146.0,63118101.0,48663335.0,8369.0,46299.0,204.8,75.87,75.23,58.0,552.0,4224.0,0.005,53.7,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
GHA,Africa,Ghana,2022-03-28,160925.0,0.0,8.857,1445.0,0.0,0.0,5071.359,0.0,0.279,45.537,0.0,0.0,0.85,,,,,,,,,2410734.0,,75.971,,3119.0,0.098,0.004,225.1,tests performed,13026180.0,8991580.0,5050369.0,134058.0,,16897.0,41.05,28.34,15.92,0.42,532.0,8608.0,0.027,43.52,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
GIB,Europe,Gibraltar,2022-03-28,16851.0,191.0,77.143,101.0,0.0,0.0,500163.248,5669.17,2289.717,2997.833,0.0,0.0,,,,,,,,,,530813.0,,15755.335,,521.0,15.464,0.108,9.2,tests performed,116358.0,42034.0,41228.0,33096.0,511.0,226.0,345.37,124.76,122.37,98.23,6708.0,3.0,0.009,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,,
GRC,Europe,Greece,2022-03-28,2957810.0,27489.0,20804.0,27341.0,73.0,49.429,285207.035,2650.629,2006.027,2636.358,7.039,4.766,1.02,,,,,98.0,9.423,2293.0,221.112,73051999.0,,7044.044,,257631.0,24.842,0.075,13.3,samples tested,20488988.0,7895503.0,7591051.0,5585861.0,15937.0,11050.0,197.57,76.13,73.2,53.86,1065.0,850.0,0.008,55.56,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
GRL,North America,Greenland,2022-03-28,11971.0,0.0,5.0,21.0,0.0,0.143,210505.029,0.0,87.923,369.276,0.0,2.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,56868.0,0.137,,,,,,199.941,2.16,,,,,71.7,,,,,
GRD,North America,Grenada,2022-03-28,13982.0,0.0,6.571,218.0,0.0,0.143,123718.091,0.0,58.147,1928.947,0.0,1.264,0.2,,,,,,,,,,,,,,,,,,87154.0,43292.0,37915.0,5947.0,,31.0,77.12,38.31,33.55,5.26,274.0,7.0,0.006,31.48,113015.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
